item_id,store_id,date,counterfactual_scenario,original_prediction,counterfactual_prediction,plausible
item_861,store_8,2022-11-10,"price ↓, promotion ↑",664,533.08,Yes
item_475,store_3,2024-05-09,"price ↓, promotion ↑",293,292.43,Yes
item_2254,store_1,2024-05-04,"price ↓, promotion ↑",921,1090.9,Yes
item_338,store_5,2022-03-02,"price ↓, promotion ↑",971,1012.15,No
item_2089,store_7,2020-07-19,"price ↓, promotion ↑",889,802.26,Yes
item_207,store_3,2024-05-17,"price ↓, promotion ↑",913,961.72,No
item_1052,store_4,2023-09-16,"price ↓, promotion ↑",689,644.25,No
item_1632,store_8,2023-06-10,"price ↓, promotion ↑",741,663.81,Yes
item_1708,store_6,2023-12-10,"price ↓, promotion ↑",296,306.76,Yes
item_2451,store_3,2024-03-14,"price ↓, promotion ↑",196,233.8,Yes
item_881,store_2,2022-06-15,"price ↓, promotion ↑",353,376.86,Yes
item_2558,store_9,2020-04-08,"price ↓, promotion ↑",202,207.52,Yes
item_470,store_7,2022-11-11,"price ↓, promotion ↑",799,653.14,No
item_2206,store_5,2021-06-01,"price ↓, promotion ↑",148,168.38,No
item_2734,store_8,2021-09-17,"price ↓, promotion ↑",337,280.6,Yes
item_36,store_4,2020-11-16,"price ↓, promotion ↑",825,672.32,Yes
item_1078,store_5,2022-09-19,"price ↓, promotion ↑",313,284.31,Yes
item_1975,store_5,2024-02-06,"price ↓, promotion ↑",166,161.73,Yes
item_154,store_3,2022-09-23,"price ↓, promotion ↑",135,141.26,Yes
item_2850,store_4,2023-05-31,"price ↓, promotion ↑",955,939.05,Yes
item_1637,store_3,2024-05-19,"price ↓, promotion ↑",466,465.26,Yes
item_1650,store_8,2023-12-14,"price ↓, promotion ↑",778,856.07,Yes
item_873,store_1,2020-03-02,"price ↓, promotion ↑",645,591.65,Yes
item_2939,store_5,2024-02-16,"price ↓, promotion ↑",614,516.04,Yes
item_1677,store_8,2020-06-18,"price ↓, promotion ↑",442,491.0,Yes
item_91,store_3,2020-02-08,"price ↓, promotion ↑",175,155.65,No
item_685,store_5,2020-03-20,"price ↓, promotion ↑",935,1106.55,Yes
item_358,store_8,2021-10-29,"price ↓, promotion ↑",422,365.05,No
item_390,store_2,2022-06-01,"price ↓, promotion ↑",305,345.16,Yes
item_1634,store_9,2023-01-27,"price ↓, promotion ↑",560,661.71,Yes
item_1470,store_1,2022-05-30,"price ↓, promotion ↑",537,435.78,Yes
item_2901,store_2,2020-03-15,"price ↓, promotion ↑",484,522.26,Yes
item_138,store_8,2023-11-25,"price ↓, promotion ↑",379,330.5,Yes
item_281,store_3,2023-05-03,"price ↓, promotion ↑",716,770.53,Yes
