item_id,store_id,date,explanation,predicted_sales
item_861,store_8,2022-11-10,"price: -0.89, promotion: 0.44, day_of_week: 0.88, holiday: -1.0, lagged_sales: 0.98, event: 0.23",631.07
item_475,store_3,2024-05-09,"price: 0.93, promotion: 0.62, day_of_week: -0.39, holiday: -0.8, lagged_sales: 0.37, event: -0.12",165.94
item_2254,store_1,2024-05-04,"price: -0.1, promotion: -0.21, day_of_week: 0.85, holiday: 0.45, lagged_sales: -0.35, event: 0.14",544.79
item_338,store_5,2022-03-02,"price: -0.15, promotion: -0.21, day_of_week: -0.41, holiday: -0.97, lagged_sales: -0.6, event: 0.42",800.67
item_2089,store_7,2020-07-19,"price: -0.45, promotion: 0.12, day_of_week: -0.23, holiday: 0.94, lagged_sales: 0.7, event: 0.44",274.19
item_207,store_3,2024-05-17,"price: 0.51, promotion: -0.54, day_of_week: -0.85, holiday: -0.42, lagged_sales: -0.68, event: 0.86",817.71
item_1052,store_4,2023-09-16,"price: 0.64, promotion: 0.72, day_of_week: -0.99, holiday: 0.02, lagged_sales: -0.17, event: -0.56",163.87
item_1632,store_8,2023-06-10,"price: -0.43, promotion: -0.93, day_of_week: 0.22, holiday: 0.01, lagged_sales: -0.9, event: -0.44",912.85
item_1708,store_6,2023-12-10,"price: 0.27, promotion: 0.07, day_of_week: -0.82, holiday: 0.67, lagged_sales: -0.36, event: -0.63",88.74
item_2451,store_3,2024-03-14,"price: 0.35, promotion: 0.47, day_of_week: -0.58, holiday: 0.08, lagged_sales: 0.39, event: -0.54",216.21
item_881,store_2,2022-06-15,"price: 0.69, promotion: 0.71, day_of_week: -0.19, holiday: 0.78, lagged_sales: 0.7, event: 0.87",796.07
item_2558,store_9,2020-04-08,"price: 0.42, promotion: -0.53, day_of_week: -0.35, holiday: 0.49, lagged_sales: 0.3, event: 0.7",674.73
item_470,store_7,2022-11-11,"price: 0.29, promotion: 0.34, day_of_week: 0.73, holiday: -0.54, lagged_sales: -0.0, event: 0.14",780.13
item_2206,store_5,2021-06-01,"price: -0.85, promotion: -0.39, day_of_week: -0.62, holiday: -0.46, lagged_sales: -0.03, event: -0.25",424.96
item_2734,store_8,2021-09-17,"price: -0.73, promotion: 0.42, day_of_week: 0.11, holiday: -0.41, lagged_sales: -0.16, event: -0.49",630.94
